Questions,17th/18th Century Philosophy,19th Century Philosophy,20th Century Philosophy,Aesthetics,African/Africana Philosophy,Ancient Greek and Roman Philosophy,Applied Ethics,Asian Philosophy,Continental Philosophy,Decision Theory,Epistemology,Feminist Philosophy,General Philosophy of Science,Logic and Philosophy of Logic,Medieval and Renaissance Philosophy,Meta-Ethics,Metaphilosophy,Metaphysics,Normative Ethics,Philosophy of Action,Philosophy of Biology,Philosophy of Cognitive Science,Philosophy of Computing and Information,"Philosophy of Gender, Race, and Sexuality",Philosophy of Language,Philosophy of Law,Philosophy of Mathematics,Philosophy of Mind,Philosophy of Physical Science,Philosophy of Religion,Philosophy of the Americas,Philosophy of Social Science,Social and Political Philosophy
Perceptual experience,"Accept or lean towards:representationalism: 0.3841
","Accept or lean towards:representationalism: 0.2698
","Accept or lean towards:disjunctivism: 0.287
","Accept or lean towards:representationalism: 0.4474
",*NA*,"Accept or lean towards:representationalism: 0.4189
","Accept or lean towards:representationalism: 0.3407
","Accept or lean towards:qualia theory: 0.2069
Accept or lean towards:representationalism: 0.1724
Accept an alternative view: 0.2069
Agnostic/undecided: 0.1724
","Accept an alternative view: 0.25
Accept or lean towards:qualia theory: 0.2083
","Accept or lean towards:representationalism: 0.3846
","Accept or lean towards:representationalism: 0.4247
","Accept or lean towards:representationalism: 0.38
","Accept or lean towards:representationalism: 0.437
","Accept or lean towards:representationalism: 0.3966
","Accept or lean towards:representationalism: 0.2821
","Accept or lean towards:representationalism: 0.4072
","Accept or lean towards:representationalism: 0.4154
","Accept or lean towards:representationalism: 0.3909
","Accept or lean towards:representationalism: 0.3456
","Accept or lean towards:representationalism: 0.3294
Accept or lean towards:disjunctivism: 0.2824
","Accept or lean towards:representationalism: 0.5208
","Accept or lean towards:representationalism: 0.609
","Accept or lean towards:representationalism: 0.45
","Accept or lean towards:representationalism: 0.3243
","Accept or lean towards:representationalism: 0.4426
","Agnostic/undecided: 0.3056
","Accept or lean towards:representationalism: 0.5
","Accept or lean towards:representationalism: 0.5103
","Accept or lean towards:representationalism: 0.3556
","Accept or lean towards:representationalism: 0.3143
","Accept or lean towards:disjunctivism: 0.3636
","Accept or lean towards:representationalism: 0.3571
","Accept or lean towards:representationalism: 0.2562
Agnostic/undecided: 0.225
"
Personal identity,"Accept or lean towards:psychological view: 0.4698
","Accept or lean towards:psychological view: 0.4286
","Accept or lean towards:psychological view: 0.4224
","Accept or lean towards:psychological view: 0.3647
","The question is too unclear to answer: 0.2857
Agnostic/undecided: 0.2857
","Accept or lean towards:psychological view: 0.3656
","Accept or lean towards:psychological view: 0.5167
","Accept or lean towards:psychological view: 0.4444
","Accept or lean towards:psychological view: 0.4125
","Accept or lean towards:psychological view: 0.575
","Accept or lean towards:psychological view: 0.3898
","Accept or lean towards:psychological view: 0.4714
","Accept or lean towards:psychological view: 0.4457
","Accept or lean towards:psychological view: 0.406
","Accept or lean towards:biological view: 0.2857
Accept or lean towards:psychological view: 0.2857
","Accept or lean towards:psychological view: 0.4231
","Accept or lean towards:psychological view: 0.3562
","Accept or lean towards:psychological view: 0.387
","Accept or lean towards:psychological view: 0.4746
","Accept or lean towards:psychological view: 0.3774
","Accept or lean towards:psychological view: 0.377
Accept or lean towards:biological view: 0.3443
","Accept or lean towards:psychological view: 0.539
","Accept or lean towards:psychological view: 0.6957
","Accept or lean towards:psychological view: 0.4894
","Accept or lean towards:psychological view: 0.3922
","Accept or lean towards:psychological view: 0.4186
","Accept or lean towards:psychological view: 0.5
","Accept or lean towards:psychological view: 0.4732
","Accept or lean towards:psychological view: 0.4815
","Accept or lean towards:further-fact view: 0.3235
","Accept or lean towards:psychological view: 0.5
","Accept or lean towards:psychological view: 0.4082
","Accept or lean towards:psychological view: 0.5142
"
Philosophical methods,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*,*NA*
Philosophical progress,"Accept or lean towards:a little: 0.5273
","Accept or lean towards:a little: 0.5281
","Accept or lean towards:a little: 0.437
","Accept or lean towards:a little: 0.4787
","Accept or lean towards:a lot: 0.4444
","Accept or lean towards:a little: 0.4747
","Accept or lean towards:a little: 0.4598
Accept or lean towards:a lot: 0.4509
","Accept or lean towards:a little: 0.5278
","Accept or lean towards:a little: 0.4731
","Accept or lean towards:a lot: 0.5625
","Accept or lean towards:a lot: 0.4901
","Accept or lean towards:a little: 0.4938
","Accept or lean towards:a lot: 0.465
Accept or lean towards:a little: 0.445
","Accept or lean towards:a lot: 0.5298
","Accept or lean towards:a little: 0.5686
","Accept or lean towards:a lot: 0.4934
","Accept or lean towards:a little: 0.4615
","Accept or lean towards:a lot: 0.4772
Accept or lean towards:a little: 0.4397
","Accept or lean towards:a little: 0.4846
","Accept or lean towards:a lot: 0.4554
Accept or lean towards:a little: 0.4107
","Accept or lean towards:a little: 0.5441
","Accept or lean towards:a little: 0.5247
","Accept or lean towards:a little: 0.52
","Accept or lean towards:a little: 0.5094
","Accept or lean towards:a lot: 0.4714
Accept or lean towards:a little: 0.4464
","Accept or lean towards:a little: 0.5098
","Accept or lean towards:a little: 0.4694
Accept or lean towards:a lot: 0.4694
","Accept or lean towards:a little: 0.4605
Accept or lean towards:a lot: 0.4605
","Accept or lean towards:a little: 0.5313
","Accept or lean towards:a little: 0.5603
","Accept or lean towards:a little: 0.5714
","Accept or lean towards:a little: 0.4407
","Accept or lean towards:a little: 0.493
"
Political philosophy,"Accept or lean towards:egalitarianism: 0.4521
","Accept or lean towards:communitarianism: 0.3882
Accept or lean towards:egalitarianism: 0.3412
","Accept or lean towards:communitarianism: 0.4194
","Accept or lean towards:egalitarianism: 0.3571
","Accept or lean towards:communitarianism: 0.3333
","Accept or lean towards:communitarianism: 0.4725
","Accept or lean towards:egalitarianism: 0.555
","Accept or lean towards:communitarianism: 0.3429
","Accept or lean towards:egalitarianism: 0.4022
Accept or lean towards:communitarianism: 0.3696
","Accept or lean towards:egalitarianism: 0.4
","Accept or lean towards:egalitarianism: 0.382
","Accept or lean towards:egalitarianism: 0.4935
","Accept or lean towards:egalitarianism: 0.4233
","Accept or lean towards:communitarianism: 0.3071
Accept or lean towards:egalitarianism: 0.2756
","Accept or lean towards:communitarianism: 0.5435
","Accept or lean towards:egalitarianism: 0.5286
","Accept or lean towards:egalitarianism: 0.4308
","Accept or lean towards:egalitarianism: 0.369
","Accept or lean towards:egalitarianism: 0.5029
","Accept or lean towards:egalitarianism: 0.5248
","Accept or lean towards:egalitarianism: 0.5
","Accept or lean towards:egalitarianism: 0.4599
","Accept or lean towards:egalitarianism: 0.3333
Accept or lean towards:communitarianism: 0.2857
","Accept or lean towards:egalitarianism: 0.537
","Accept or lean towards:egalitarianism: 0.4509
","Accept or lean towards:egalitarianism: 0.48
","Accept or lean towards:communitarianism: 0.3077
","Accept or lean towards:egalitarianism: 0.5267
","Accept or lean towards:egalitarianism: 0.44
","Accept or lean towards:communitarianism: 0.3761
","Accept or lean towards:communitarianism: 0.3077
Accept or lean towards:egalitarianism: 0.3077
","Accept or lean towards:egalitarianism: 0.4528
","Accept or lean towards:egalitarianism: 0.5552
"
Proper names,"Accept or lean towards:Fregean: 0.3793
Accept or lean towards:Millian: 0.3707
","Accept or lean towards:Fregean: 0.3333
Accept or lean towards:Millian: 0.3148
","Accept or lean towards:Fregean: 0.4894
","Accept or lean towards:Fregean: 0.4853
",*NA*,"Accept or lean towards:Fregean: 0.4262
","Accept or lean towards:Fregean: 0.3661
Accept or lean towards:Millian: 0.3304
","Accept or lean towards:Fregean: 0.3478
Accept or lean towards:Millian: 0.3043
","Accept or lean towards:Fregean: 0.4
","Accept or lean towards:Millian: 0.4571
","Accept or lean towards:Millian: 0.4
Accept or lean towards:Fregean: 0.3642
","Accept or lean towards:Millian: 0.3864
Accept or lean towards:Fregean: 0.3636
","Accept or lean towards:Millian: 0.4324
","Accept or lean towards:Millian: 0.4097
","Accept or lean towards:Fregean: 0.5
","Accept or lean towards:Fregean: 0.3951
Accept or lean towards:Millian: 0.3827
","Accept or lean towards:Fregean: 0.3676
","Accept or lean towards:Millian: 0.4658
","Accept or lean towards:Fregean: 0.3812
","Accept or lean towards:Fregean: 0.4156
","Accept or lean towards:Fregean: 0.3469
Accept or lean towards:Millian: 0.3469
","Accept or lean towards:Millian: 0.4198
Accept or lean towards:Fregean: 0.374
","Accept or lean towards:Millian: 0.5789
","Accept or lean towards:Fregean: 0.4412
","Accept or lean towards:Millian: 0.4601
","Accept or lean towards:Millian: 0.4242
Accept or lean towards:Fregean: 0.3939
","Accept or lean towards:Fregean: 0.4
","Accept or lean towards:Millian: 0.4205
Accept or lean towards:Fregean: 0.4139
","Accept or lean towards:Millian: 0.4773
","Accept or lean towards:Fregean: 0.3837
Accept or lean towards:Millian: 0.3372
","Agnostic/undecided: 0.375
","Accept or lean towards:Millian: 0.5
","Accept or lean towards:Fregean: 0.396
"
Race,"Accept or lean towards:social: 0.6456
","Accept or lean towards:social: 0.75
","Accept or lean towards:social: 0.6212
","Accept or lean towards:social: 0.6809
","Accept or lean towards:social: 0.8889
","Accept or lean towards:social: 0.6105
","Accept or lean towards:social: 0.7014
","Accept or lean towards:social: 0.5833
","Accept or lean towards:social: 0.5957
","Accept or lean towards:social: 0.5263
","Accept or lean towards:social: 0.6319
","Accept or lean towards:social: 0.8659
","Accept or lean towards:social: 0.6209
","Accept or lean towards:social: 0.5423
","Accept or lean towards:social: 0.5102
","Accept or lean towards:social: 0.6029
","Accept or lean towards:social: 0.7162
","Accept or lean towards:social: 0.6284
","Accept or lean towards:social: 0.6994
","Accept or lean towards:social: 0.5631
","Accept or lean towards:social: 0.6061
","Accept or lean towards:social: 0.6689
","Accept or lean towards:social: 0.6667
","Accept or lean towards:social: 0.8727
","Accept or lean towards:social: 0.6293
","Accept or lean towards:social: 0.6327
","Accept or lean towards:social: 0.625
","Accept or lean towards:social: 0.6293
","Accept or lean towards:social: 0.5763
","Accept or lean towards:social: 0.6047
","Accept or lean towards:social: 0.5714
","Accept or lean towards:social: 0.625
","Accept or lean towards:social: 0.7319
"
Science,"Accept or lean towards:scientific realism: 0.65
","Accept or lean towards:scientific realism: 0.5909
","Accept or lean towards:scientific realism: 0.553
","Accept or lean towards:scientific realism: 0.6484
","Accept or lean towards:scientific realism: 0.625
","Accept or lean towards:scientific realism: 0.6563
","Accept or lean towards:scientific realism: 0.7685
","Accept or lean towards:scientific realism: 0.4286
","Accept or lean towards:scientific realism: 0.4353
","Accept or lean towards:scientific realism: 0.8182
","Accept or lean towards:scientific realism: 0.7809
","Accept or lean towards:scientific realism: 0.5753
","Accept or lean towards:scientific realism: 0.635
","Accept or lean towards:scientific realism: 0.68
","Accept or lean towards:scientific realism: 0.7708
","Accept or lean towards:scientific realism: 0.7808
","Accept or lean towards:scientific realism: 0.68
","Accept or lean towards:scientific realism: 0.7934
","Accept or lean towards:scientific realism: 0.8006
","Accept or lean towards:scientific realism: 0.6509
","Accept or lean towards:scientific realism: 0.5797
","Accept or lean towards:scientific realism: 0.8075
","Accept or lean towards:scientific realism: 0.76
","Accept or lean towards:scientific realism: 0.6087
","Accept or lean towards:scientific realism: 0.7345
","Accept or lean towards:scientific realism: 0.8182
","Accept or lean towards:scientific realism: 0.66
","Accept or lean towards:scientific realism: 0.7855
","Accept or lean towards:scientific realism: 0.7231
","Accept or lean towards:scientific realism: 0.8309
","Accept or lean towards:scientific realism: 0.3846
","Accept or lean towards:scientific realism: 0.6379
","Accept or lean towards:scientific realism: 0.6838
"
Teletransporter,"Accept or lean towards:death: 0.4101
","Accept or lean towards:survival: 0.3088
Accept or lean towards:death: 0.2941
",*NA*,"Accept or lean towards:death: 0.3614
Accept or lean towards:survival: 0.3133
",*NA*,"Accept or lean towards:death: 0.4157
","Accept or lean towards:death: 0.4293
Accept or lean towards:survival: 0.3805
","Accept or lean towards:death: 0.4412
","Accept or lean towards:death: 0.4118
","Accept or lean towards:survival: 0.4419
","Accept or lean towards:death: 0.4097
","Accept or lean towards:survival: 0.4545
","Accept or lean towards:survival: 0.3989
","Accept or lean towards:death: 0.4135
Accept or lean towards:survival: 0.3684
","Accept or lean towards:death: 0.5581
","Accept or lean towards:death: 0.4327
","Accept or lean towards:survival: 0.3973
","Accept or lean towards:death: 0.4633
","Accept or lean towards:death: 0.4333
","Accept or lean towards:death: 0.5294
","Accept or lean towards:survival: 0.35
Accept or lean towards:death: 0.3
","Accept or lean towards:survival: 0.4094
Accept or lean towards:death: 0.396
","Accept or lean towards:survival: 0.4167
Accept or lean towards:death: 0.375
","Accept or lean towards:survival: 0.4651
","Accept or lean towards:survival: 0.4023
Accept or lean towards:death: 0.3633
","Accept or lean towards:death: 0.4
Accept or lean towards:survival: 0.3556
","Accept or lean towards:survival: 0.4762
","Accept or lean towards:death: 0.4215
Accept or lean towards:survival: 0.4092
","Accept or lean towards:survival: 0.5333
","Accept or lean towards:death: 0.5161
","Accept or lean towards:survival: 0.3333
","Accept or lean towards:survival: 0.4082
","Accept or lean towards:survival: 0.443
"
Time,"Accept or lean towards:B-theory: 0.3628
","Accept or lean towards:A-theory: 0.3404
","Accept or lean towards:A-theory: 0.3467
","Accept or lean towards:A-theory: 0.3462
Agnostic/undecided: 0.3077
",*NA*,"Accept or lean towards:A-theory: 0.2951
Accept or lean towards:B-theory: 0.2951
Agnostic/undecided: 0.2951
","Accept or lean towards:B-theory: 0.3396
","Accept or lean towards:A-theory: 0.3
","Accept or lean towards:A-theory: 0.3725
","Accept or lean towards:B-theory: 0.5143
","Accept or lean towards:B-theory: 0.3662
","Accept or lean towards:B-theory: 0.3571
","Accept or lean towards:B-theory: 0.4266
","Accept or lean towards:B-theory: 0.4426
","Accept or lean towards:A-theory: 0.3514
","Accept or lean towards:B-theory: 0.392
","Accept or lean towards:B-theory: 0.3448
","Accept or lean towards:B-theory: 0.4665
","Accept or lean towards:B-theory: 0.3575
Accept or lean towards:A-theory: 0.3184
","Accept or lean towards:A-theory: 0.3462
","Accept or lean towards:B-theory: 0.5128
","Accept or lean towards:B-theory: 0.3551
Agnostic/undecided: 0.3458
","Accept or lean towards:B-theory: 0.5
","Accept or lean towards:A-theory: 0.3077
Accept or lean towards:B-theory: 0.3077
","Accept or lean towards:B-theory: 0.47
","Accept or lean towards:A-theory: 0.375
Agnostic/undecided: 0.3333
","Accept or lean towards:B-theory: 0.45
","Accept or lean towards:B-theory: 0.4151
","Accept or lean towards:B-theory: 0.5082
","Accept or lean towards:A-theory: 0.4476
","Accept or lean towards:B-theory: 0.25
There is no fact of the matter: 0.25
","Accept or lean towards:B-theory: 0.2647
Accept or lean towards:A-theory: 0.2353
Agnostic/undecided: 0.2647
","Accept or lean towards:A-theory: 0.3058
Accept or lean towards:B-theory: 0.281
Agnostic/undecided: 0.3058
"
Trolley problem,"Accept or lean towards:switch: 0.5217
","Accept or lean towards:switch: 0.5172
","Accept or lean towards:switch: 0.4961
","Accept or lean towards:switch: 0.5851
","Accept or lean towards:switch: 0.75
","Accept or lean towards:switch: 0.4896
","Accept or lean towards:switch: 0.6771
","Accept or lean towards:switch: 0.5833
","Accept or lean towards:switch: 0.407
","Accept or lean towards:switch: 0.8333
","Accept or lean towards:switch: 0.6975
","Accept or lean towards:switch: 0.3951
","Accept or lean towards:switch: 0.6
","Accept or lean towards:switch: 0.5548
","Accept or lean towards:switch: 0.449
","Accept or lean towards:switch: 0.6991
","Accept or lean towards:switch: 0.6104
","Accept or lean towards:switch: 0.6336
","Accept or lean towards:switch: 0.7263
","Accept or lean towards:switch: 0.5536
","Accept or lean towards:switch: 0.6618
","Accept or lean towards:switch: 0.7
","Accept or lean towards:switch: 0.72
","Accept or lean towards:switch: 0.4808
","Accept or lean towards:switch: 0.6605
","Accept or lean towards:switch: 0.68
","Accept or lean towards:switch: 0.5
","Accept or lean towards:switch: 0.6408
","Accept or lean towards:switch: 0.6129
","Accept or lean towards:switch: 0.6043
","Accept or lean towards:switch: 0.5385
","Accept or lean towards:switch: 0.7857
","Accept or lean towards:switch: 0.6464
"
Truth,"Accept or lean towards:correspondence: 0.4768
","Accept or lean towards:deflationary: 0.325
","Accept or lean towards:deflationary: 0.36
","Accept or lean towards:correspondence: 0.4302
","Accept or lean towards:deflationary: 0.2857
","Accept or lean towards:correspondence: 0.618
","Accept or lean towards:correspondence: 0.5306
","Accept or lean towards:deflationary: 0.3056
","Accept or lean towards:deflationary: 0.25
Accept or lean towards:correspondence: 0.2375
Accept or lean towards:epistemic: 0.2375
","Accept or lean towards:correspondence: 0.5641
","Accept or lean towards:correspondence: 0.5383
","Accept or lean towards:correspondence: 0.4154
","Accept or lean towards:correspondence: 0.5108
","Accept or lean towards:correspondence: 0.5
","Accept or lean towards:correspondence: 0.6596
","Accept or lean towards:correspondence: 0.588
","Accept or lean towards:correspondence: 0.3896
","Accept or lean towards:correspondence: 0.6038
",*NA*,"Accept or lean towards:correspondence: 0.5149
","Accept or lean towards:correspondence: 0.459
","Accept or lean towards:correspondence: 0.5513
","Accept or lean towards:correspondence: 0.5833
","Accept or lean towards:correspondence: 0.4167
","Accept or lean towards:correspondence: 0.5125
","Accept or lean towards:correspondence: 0.5435
","Accept or lean towards:correspondence: 0.5625
","Accept or lean towards:correspondence: 0.5774
","Accept or lean towards:correspondence: 0.4576
","Accept or lean towards:correspondence: 0.763
","Accept or lean towards:deflationary: 0.3077
Accept an alternative view: 0.3077
","Accept or lean towards:correspondence: 0.4444
","Accept or lean towards:correspondence: 0.476
"
Vagueness,"Accept or lean towards:semantic: 0.5625
","Accept or lean towards:semantic: 0.3968
","Accept or lean towards:semantic: 0.5234
","Accept or lean towards:semantic: 0.5
",*NA*,"Accept or lean towards:semantic: 0.4177
","Accept or lean towards:semantic: 0.4345
","Accept or lean towards:metaphysical: 0.3793
Accept or lean towards:semantic: 0.3793
","Accept or lean towards:semantic: 0.3934
","Accept or lean towards:semantic: 0.5814
","Accept or lean towards:semantic: 0.482
","Accept or lean towards:semantic: 0.3269
","Accept or lean towards:semantic: 0.5241
","Accept or lean towards:semantic: 0.6438
","Accept or lean towards:semantic: 0.4737
","Accept or lean towards:semantic: 0.5531
","Accept or lean towards:semantic: 0.5571
","Accept or lean towards:semantic: 0.5503
","Accept or lean towards:semantic: 0.4733
","Accept or lean towards:semantic: 0.4194
","Accept or lean towards:semantic: 0.463
","Accept or lean towards:semantic: 0.5588
","Accept or lean towards:semantic: 0.64
","Accept or lean towards:epistemic: 0.3571
Accept or lean towards:semantic: 0.3571
","Accept or lean towards:semantic: 0.652
","Accept or lean towards:semantic: 0.4524
","Accept or lean towards:semantic: 0.6739
","Accept or lean towards:semantic: 0.5929
","Accept or lean towards:semantic: 0.6667
","Accept or lean towards:semantic: 0.4153
","Accept or lean towards:epistemic: 0.2727
Accept or lean towards:semantic: 0.2727
","Accept or lean towards:semantic: 0.46
","Accept or lean towards:semantic: 0.5052
"
Zombies,"Accept or lean towards:conceivable but not metaphysically possible: 0.42
","Accept or lean towards:conceivable but not metaphysically possible: 0.3067
","Accept or lean towards:conceivable but not metaphysically possible: 0.3089
","Accept or lean towards:conceivable but not metaphysically possible: 0.3146
","Accept or lean towards:conceivable but not metaphysically possible: 0.375
","Accept or lean towards:conceivable but not metaphysically possible: 0.4302
","Accept or lean towards:conceivable but not metaphysically possible: 0.3938
","Accept or lean towards:conceivable but not metaphysically possible: 0.3333
","Accept or lean towards:conceivable but not metaphysically possible: 0.3494
","Accept or lean towards:conceivable but not metaphysically possible: 0.4872
","Accept or lean towards:metaphysically possible: 0.3065
Accept or lean towards:conceivable but not metaphysically possible: 0.3039
","Accept or lean towards:conceivable but not metaphysically possible: 0.4375
","Accept or lean towards:conceivable but not metaphysically possible: 0.3702
","Accept or lean towards:conceivable but not metaphysically possible: 0.3889
","Accept or lean towards:conceivable but not metaphysically possible: 0.5217
","Accept or lean towards:conceivable but not metaphysically possible: 0.3861
","Accept or lean towards:conceivable but not metaphysically possible: 0.2933
","Accept or lean towards:conceivable but not metaphysically possible: 0.381
","Accept or lean towards:conceivable but not metaphysically possible: 0.3713
","Accept or lean towards:conceivable but not metaphysically possible: 0.3868
","Accept or lean towards:conceivable but not metaphysically possible: 0.381
","Accept or lean towards:conceivable but not metaphysically possible: 0.4088
","Accept or lean towards:inconceivable: 0.2917
Accept or lean towards:conceivable but not metaphysically possible: 0.25
","Accept or lean towards:conceivable but not metaphysically possible: 0.4762
","Accept or lean towards:conceivable but not metaphysically possible: 0.3667
","Accept or lean towards:conceivable but not metaphysically possible: 0.35
","Accept or lean towards:metaphysically possible: 0.3261
","Accept or lean towards:conceivable but not metaphysically possible: 0.404
","Accept or lean towards:conceivable but not metaphysically possible: 0.4167
","Accept or lean towards:metaphysically possible: 0.4361
","Accept or lean towards:conceivable but not metaphysically possible: 0.5
","Accept or lean towards:metaphysically possible: 0.3673
","Accept or lean towards:conceivable but not metaphysically possible: 0.3723
"
Abortion,"Accept or lean towards:permissible: 0.8318
","Accept or lean towards:permissible: 0.875
","Accept or lean towards:permissible: 0.8378
","Accept or lean towards:permissible: 0.8382
",*NA*,"Accept or lean towards:permissible: 0.7288
","Accept or lean towards:permissible: 0.8611
","Accept or lean towards:permissible: 0.7826
","Accept or lean towards:permissible: 0.78
","Accept or lean towards:permissible: 0.9143
","Accept or lean towards:permissible: 0.8078
","Accept or lean towards:permissible: 0.9574
","Accept or lean towards:permissible: 0.848
","Accept or lean towards:permissible: 0.8641
","Accept or lean towards:impermissible: 0.6389
","Accept or lean towards:permissible: 0.878
","Accept or lean towards:permissible: 0.8929
","Accept or lean towards:permissible: 0.7398
","Accept or lean towards:permissible: 0.8208
","Accept or lean towards:permissible: 0.7927
","Accept or lean towards:permissible: 0.8571
","Accept or lean towards:permissible: 0.91
","Accept or lean towards:permissible: 0.8571
","Accept or lean towards:permissible: 0.9655
","Accept or lean towards:permissible: 0.8769
","Accept or lean towards:permissible: 0.7813
","Accept or lean towards:permissible: 0.7838
","Accept or lean towards:permissible: 0.8638
","Accept or lean towards:permissible: 0.7857
","Accept or lean towards:impermissible: 0.5566
","Accept or lean towards:permissible: 1.0
","Accept or lean towards:permissible: 0.875
","Accept or lean towards:permissible: 0.8476
"
Aesthetic experience,"Accept or lean towards:sui generis: 0.407
","Accept or lean towards:sui generis: 0.3611
","Accept or lean towards:sui generis: 0.4286
","Accept or lean towards:sui generis: 0.377
",*NA*,"Accept or lean towards:sui generis: 0.4222
","Accept or lean towards:sui generis: 0.358
","Accept or lean towards:sui generis: 0.3889
","Accept or lean towards:sui generis: 0.4359
","Accept or lean towards:perception: 0.25
Accept or lean towards:pleasure: 0.25
Agnostic/undecided: 0.25
","Accept or lean towards:sui generis: 0.3455
","Accept or lean towards:sui generis: 0.2857
Accept or lean towards:perception: 0.25
","Accept or lean towards:sui generis: 0.2958
","Accept or lean towards:sui generis: 0.4194
","Accept or lean towards:sui generis: 0.5
","Accept or lean towards:sui generis: 0.4615
","Accept or lean towards:sui generis: 0.3056
","Accept or lean towards:perception: 0.3333
Accept or lean towards:sui generis: 0.3333
","Accept or lean towards:sui generis: 0.3333
","Accept or lean towards:sui generis: 0.431
","Accept or lean towards:perception: 0.4583
","Accept or lean towards:perception: 0.3824
Accept or lean towards:sui generis: 0.3529
","Accept or lean towards:perception: 0.5385
","Accept or lean towards:sui generis: 0.5789
","Accept or lean towards:sui generis: 0.4569
","Accept or lean towards:sui generis: 0.4783
","Accept or lean towards:sui generis: 0.381
","Accept or lean towards:sui generis: 0.396
","Accept or lean towards:perception: 0.3333
","Accept or lean towards:sui generis: 0.3585
Accept or lean towards:perception: 0.3208
",*NA*,"Accept or lean towards:sui generis: 0.3462
Accept or lean towards:perception: 0.3077
","Accept or lean towards:sui generis: 0.4151
"
Analysis of knowledge,"Accept or lean towards:justified true belief: 0.2857
Accept or lean towards:other analysis: 0.2857
Accept or lean towards:no analysis: 0.2527
","Accept or lean towards:no analysis: 0.2791
Accept or lean towards:other analysis: 0.2558
","Accept or lean towards:no analysis: 0.3088
Accept or lean towards:other analysis: 0.2941
","Accept or lean towards:justified true belief: 0.2778
Accept or lean towards:no analysis: 0.2778
",*NA*,"Accept or lean towards:justified true belief: 0.3448
Accept or lean towards:other analysis: 0.3103
","Accept or lean towards:other analysis: 0.3636
Accept or lean towards:justified true belief: 0.3388
","Accept or lean towards:other analysis: 0.3043
Accept or lean towards:no analysis: 0.2609
","Accept or lean towards:justified true belief: 0.3333
","Accept or lean towards:no analysis: 0.5625
","Accept or lean towards:other analysis: 0.3586
Accept or lean towards:no analysis: 0.3448
","Accept or lean towards:other analysis: 0.3415
","Accept or lean towards:no analysis: 0.3065
Accept or lean towards:justified true belief: 0.2581
Accept or lean towards:other analysis: 0.2903
","Accept or lean towards:no analysis: 0.4057
","Accept or lean towards:justified true belief: 0.5172
","Accept or lean towards:no analysis: 0.3699
Accept or lean towards:other analysis: 0.3356
","Accept or lean towards:no analysis: 0.3333
Accept or lean towards:other analysis: 0.2963
","Accept or lean towards:other analysis: 0.3849
","Accept or lean towards:other analysis: 0.3726
","Accept or lean towards:other analysis: 0.4203
","Accept or lean towards:justified true belief: 0.3902
","Accept or lean towards:no analysis: 0.4556
","Accept or lean towards:other analysis: 0.5
","Accept or lean towards:no analysis: 0.2917
Accept or lean towards:justified true belief: 0.25
Accept or lean towards:other analysis: 0.25
","Accept or lean towards:no analysis: 0.4192
","Accept or lean towards:justified true belief: 0.3548
Accept or lean towards:other analysis: 0.3548
","Accept or lean towards:no analysis: 0.4872
","Accept or lean towards:no analysis: 0.3632
Accept or lean towards:other analysis: 0.3318
","Accept or lean towards:other analysis: 0.3514
Accept or lean towards:no analysis: 0.3243
","Accept or lean towards:other analysis: 0.4455
","Accept or lean towards:justified true belief: 0.2857
The question is too unclear to answer: 0.2857
","Accept or lean towards:no analysis: 0.475
","Accept or lean towards:justified true belief: 0.312
Accept or lean towards:other analysis: 0.288
"
